user;Comment;Label
AsepSul46335267; Wong cilik yang mba...;NON-CYBERBULYING
pengushrnminari; Aku wong cilik tapi pake sepatu bu;NON-CYBERBULYING
Kontol893; Ahahaha. Kontlo. Niatan mau merakyat malah gak ngerti mulai dari mana;CYBERBULLYING
Hajir11336579; Mantaab mbak puan..maju trus..smoga jadi presiden.;NON-CYBERBULYING
abon_kang; Wes tah puan, rekam jejakmu ora genah blas ðŸ‘Ž;CYBERBULLYING
LazyTiger1313; Saya segenap jiwa dan raga semangat membawa ... tidak akan memilih ibu.... :D;CYBERBULLYING
compoundstrike; Warung pecel wong cilik real kaga pake sarung taplak meja putih bersih. Mentok2 pake tempelan mereâ€;NON-CYBERBULYING
icaajuliani; Plis ya bu kalo di tanya â€œbagaimanaâ€ jangan jawab pake jawaban bagaimana lagi !! Lieur pan;CYBERBULLYING
AbdMalikOd; Hahahha saat naik Bbm dan covid wong cilik pd kemana ya;NON-CYBERBULYING
herman_wijayaaa; partai wong cilik, tapi kebijakane ora pro wong cilik.... angel ri;CYBERBULLYING
gue_kadrun; Giliran gini partai wong cilik, kemaren pd kmn, partai wong licik kalee...;CYBERBULLYING
ekash___; Huehehehe;NON-CYBERBULYING
Zull24891202; Boleh muntah disini gak?;CYBERBULLYING
zxcv_asdf_vcxz; yang nanya siapa?;NON-CYBERBULYING
TorajaDomai; Kita sudah dibodohi.;CYBERBULLYING
Hawkeye_48; Ga dulu bu sorry,lagi ngurus KTP billie ellis sekarang pindah ke ngajuk;NON-CYBERBULYING
TorajaDomai; Selama ini kemana aja Bu, disaat masyarakat kecil tertindas. Disaat hukum tajam kebawah, tumpul keâ€¦ https://t.co/cWP53NSrNt;NON-CYBERBULYING
tidaksering; gk usah alter ego;NON-CYBERBULYING
Literasikata07; Sipaling kaya coy;CYBERBULLYING
masjhon16947126; Pengin ketawa.. takut sakit peyyuutt..;CYBERBULLYING
Hendaruth; Amas;NON-CYBERBULYING
katafatah; Kira kira darmaji ga yaa;NON-CYBERBULYING
meigui_hikaru; nggak percaya;NON-CYBERBULYING
makbos75; Alah..muak dengarnya,kalian itu hny pintar ngomong. Biaya utk buat baliho anda,bila digunakan membâ€¦ https://t.co/m8hStJUbe6;CYBERBULLYING
pramudia_eka; Ayo kita nangis bareng Mba...BBM naik;CYBERBULLYING
pengenbaik_kaya; Alamak;NON-CYBERBULYING
fnff_D; Biasa, menjelang pilpres 2024 wkwk;NON-CYBERBULYING
vito_shella; Ampuuunnn dahh... jgn sampe lg kedepannya gerombolan ini yg nguasai negara....;CYBERBULLYING
SOERIAAMIDJAYA; Percayalah..anda tdk akan jd peresiden,bahkan untuk jd wapres sekalipun...anda hanya akan jd ketumâ€¦ https://t.co/adEgVcnCTY;CYBERBULLYING
