Comment,Label
"['cilik', 'mba']",NON-CYBERBULYING
"['cilik', 'pake', 'sepatu', 'bu']",NON-CYBERBULYING
"['ahahaha', 'kontlo', 'niatan', 'merakyat', 'gak', 'ngerti']",CYBERBULLYING
"['mantaab', 'mbak', 'puan', 'maju', 'trus', 'smoga', 'presiden']",NON-CYBERBULYING
"['wes', 'tah', 'puan', 'rekam', 'jejakmu', 'ora', 'genah', 'blas']",CYBERBULLYING
"['segenap', 'jiwa', 'raga', 'semangat', 'membawa', 'memilih', 'd']",CYBERBULLYING
"['warung', 'pecel', 'cilik', 'real', 'kaga', 'pake', 'sarung', 'taplak', 'meja', 'putih', 'bersih', 'mentok2', 'pake', 'tempelan', 'mere']",NON-CYBERBULYING
"['plis', 'ya', 'bu', 'kalo', 'pake', 'lieur', 'pan']",CYBERBULLYING
"['hahahha', 'bbm', 'covid', 'cilik', 'pd', 'kemana', 'ya']",NON-CYBERBULYING
"['partai', 'cilik', 'kebijakane', 'ora', 'pro', 'cilik', 'angel', 'ri']",CYBERBULLYING
"['giliran', 'gini', 'partai', 'cilik', 'kemaren', 'pd', 'kmn', 'partai', 'licik', 'kalee']",CYBERBULLYING
['huehehehe'],NON-CYBERBULYING
"['muntah', 'gak']",CYBERBULLYING
['nanya'],NON-CYBERBULYING
['dibodohi'],CYBERBULLYING
"['ga', 'bu', 'sorry', 'ngurus', 'ktp', 'billie', 'ellis', 'pindah', 'ngajuk']",NON-CYBERBULYING
"['kemana', 'aja', 'bu', 'disaat', 'masyarakat', 'tertindas', 'disaat', 'hukum', 'tajam', 'kebawah', 'tumpul']",NON-CYBERBULYING
"['gk', 'alter', 'ego']",NON-CYBERBULYING
"['sipaling', 'kaya', 'coy']",CYBERBULLYING
"['pengin', 'ketawa', 'takut', 'sakit', 'peyyuutt']",CYBERBULLYING
['amas'],NON-CYBERBULYING
"['darmaji', 'ga', 'yaa']",NON-CYBERBULYING
"['nggak', 'percaya']",NON-CYBERBULYING
"['alah', 'muak', 'dengarnya', 'hny', 'pintar', 'ngomong', 'biaya', 'utk', 'baliho', 'memb']",CYBERBULLYING
"['ayo', 'nangis', 'bareng', 'mba', 'bbm']",CYBERBULLYING
['alamak'],NON-CYBERBULYING
"['menjelang', 'pilpres', '2024', 'wkwk']",NON-CYBERBULYING
"['ampuuunnn', 'dahh', 'jgn', 'sampe', 'lg', 'kedepannya', 'gerombolan', 'yg', 'nguasai', 'negara']",CYBERBULLYING
"['percayalah', 'tdk', 'jd', 'peresiden', 'jd', 'wapres', 'jd', 'ketum']",CYBERBULLYING
"['tingtingting', 'bakso']",NON-CYBERBULYING
"['warung', 'endi', 'iki', 'sing', 'taplake', 'apik', 'hahaha']",CYBERBULLYING
"['partai', 'cilik', 'wkwkwkwland']",NON-CYBERBULYING
"['saran', 'bu', 'kalo', 'makan', 'pecel', 'beneran', 'pecel', 'mboto', 'jati', 'mulur', 'pecel', 'mbah', 'diyem', 'pringgodani', 'mulur']",NON-CYBERBULYING
['wkwkwk'],NON-CYBERBULYING
"['cilik', 'memikirkan', 'perut', 'bicara']",CYBERBULLYING
"['bude', 'bude', 'bbm', 'ko', 'tumben', 'ga', 'nangis', 'bombay', 'haha', 'partai', 'cilik', 'bagi2', 'kaos']",CYBERBULLYING
"['partai', 'cilik', 'bener']",CYBERBULLYING
"['kalo', 'warung', 'contohnya', 'warung', 'pecel', 'pete', 'rejotangan', 'tulungagung', 'pecel', '5', 'ribu', 'teh', 'anget', '2']",NON-CYBERBULYING
"['ngopinya', 'kental', 'jd', 'otaknya', 'ga', 'penuh']",CYBERBULLYING
"['wis', 'kono', 'karepmu', 'aq', 'meh', 'turu', 'ngko', 'tangi', '2025']",NON-CYBERBULYING
"['warga', 'fesbuk', 'parah', 'banget', 'foto', 'nya', 'ril', 'gaada', 'greenscreen']",NON-CYBERBULYING
"['la', 'gendut', 'piye', 'bu']",NON-CYBERBULYING
"['gak', 'malu', 'lo', 'ya', 'rakyat', 'tercekik', 'kondisi', 'ekonomi', 'yg', 'sperti', 'ngom']",CYBERBULLYING
"['pd', 'aja', 'bawa2', 'cilik', 'sendal', 'jepit', 'oh', 'iya', 'pd', 'ih', 'pd']",CYBERBULLYING
"['kau', 'pikir', 'gampang', 'dikibuli', 'ama', 'pencitraan']",CYBERBULLYING
"['berharap', 'pasangan', 'pemilu', '2024', 'tamat']",NON-CYBERBULYING
"['jaman', 'sby', 'bbm', 'nangis', 'ketua', 'dpr', 'ri', 'ko', 'setujuin']",CYBERBULLYING
"['istilah', 'makan', 'berbayar', 'asli', 'indonesia', 'warung', 'emangnya', 'tuh', 'korelas']",NON-CYBERBULYING
"['smoga', 'cpt', 'mati']",CYBERBULLYING
"['iihhh', 'kocak', 'syulittt', 'dilupakan', 'reihan']",CYBERBULLYING
[],NON-CYBERBULYING
"['caption', 'mengandung', 'unsur', 'pemanis', 'buatan']",CYBERBULLYING
"['warung', 'pecel', 'ndi', 'seng', 'taplake', 'mejo', 'putih', 'bersih', 'ngene', 'ki', 'bu', 'nggonku', 'warung', 'pecel', 'taplak', 'e', 'meja']",NON-CYBERBULYING
"['musim', 'kampanye', 'jeng', 'sibuk', 'cari', 'muka', 'rakyat', 'deh', 'rakyat', 'udah', 'pintar']",CYBERBULLYING
['nitip'],NON-CYBERBULYING
"['cilik', 'your', 'eyes']",CYBERBULLYING
"['warung', 'yg', 'indah']",NON-CYBERBULYING
"['ngaku', 'cilik', 'kanggo', 'ngapusi', 'cilik']",CYBERBULLYING
['moooh'],NON-CYBERBULYING
"['terima', 'kasih', 'sdh', 'posting', 'gambar', 'yg', 'menjijikkan', 'gambar', 'menyadarkan', 'bhw', 'msh', 'pil']",CYBERBULLYING
"['prettt', 'lahh']",NON-CYBERBULYING
"['heleeeh', 'lagu']",NON-CYBERBULYING
"['gabakal', 'gw', 'coblos', 'ye', 'lulupada']",CYBERBULLYING
"['duren', 'pilihan', 'pencuci', 'mulut', 'cocok', 'sembari', 'makan', 'pecel']",NON-CYBERBULYING
"['duduk', 'manis', 'nyimak']",NON-CYBERBULYING
"['partainya', 'cilik', 'pengen', 'misoh', 'aq', 'takut', 'tp']",CYBERBULLYING
"['dek', 'puan']",NON-CYBERBULYING
"['partai', 'cilik', 'kebijakan', 'memimpin', 'nggak', 'mencerminkan', 'partai', 'cilik']",CYBERBULLYING
"['coba', 'warung', 'pecel', 'linggarjati', 'buk', 'alamatnya', 'jl', 'karimata', 'jember', 'kampus']",NON-CYBERBULYING
['ngimpi'],NON-CYBERBULYING
"['nggeh', 'bu', 'matur', 'suwun', 'persis', 'kaya', 'sekian', 'purnama', 'bilang', 'rakyat', 'sam']",NON-CYBERBULYING
"['ga', 'tombol', 'down', 'ya', 'dislike']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['ngomong', 'opo']",NON-CYBERBULYING
"['wkwk', 'lawak']",NON-CYBERBULYING
"['sampean', 'tenan', 'arep', 'nyalon', 'presiden', 'bu', 'puan']",NON-CYBERBULYING
"['skincare', 'nya', 'pakai', 'bu', 'puan', 'mulus']",NON-CYBERBULYING
['malesin'],NON-CYBERBULYING
"['gapernah', 'makan', 'duren', 'bu', 'mahal', 'nya']",NON-CYBERBULYING
"['lucu', 'ngelawak']",CYBERBULLYING
"['urat', 'malu', 'nenek', 'puan', 'udah', 'berbuat', 'bkin', 'hati', 'rakyat', 'sakit', 'berani', 'nyapres', 'patut', 'periksa', 'jiwa', 'nenek', 'puan']",CYBERBULLYING
"['gk', 'respek', 'pejabat', 'karna', 'bagiku', 'nya', 'korupsi', 'koruptor', 'koruptor', 'sumpah', 'alquran', 'g', 'takut', 'tuhan', 'nya', 'mending', 'golput', 'g', 'nyoblos', 'yg', 'menang', 'yg', 'senang', 'rakyat', 'sengsara']",CYBERBULLYING
"['kampanye', 'cilik', 'cilik', 'mulu', 'cilik', 'kaga', 'gede2', 'pemerintah', 'kaga', 'yg', 'berhasil', 'ni', 'brati']",CYBERBULLYING
"['ora', 'sesuai', 'caption', 'bu']",CYBERBULLYING
"['kl', 'bakul', 'bakso', 'gmn', 'mbak']",NON-CYBERBULYING
"['sih', 'no', 'no', 'no']",NON-CYBERBULYING
"['pemilu', 'bawa', 'nama', 'cilik']",NON-CYBERBULYING
"['makan', 'warung', 'mbak', 'merakyatnya', 'beda', 'yah', 'percayalah', 'orang2', 'pencitraan', 'm']",CYBERBULLYING
"['semoga', 'banteng', 'merah', 'musnah', 'bumi', 'amin']",CYBERBULLYING
['lol'],CYBERBULLYING
"['mbak', 'puan', 'ndak', 'pake', 'sendal', 'jepit', 'mba', 'cilik', 'pakai', 'sepatu', 'yaa', 'sepatu', 'karet', 'sih', 'mba']",NON-CYBERBULYING
"['you', 'never', 'be', 'one', 'of', 'us', 'cilik', 'you', 'never', 'be', 'one', 'of', 'our', 'own', 'kaum', 'sandal', 'jepit', 'you', 'll', 'never', 'be', 'our', 'leader']",NON-CYBERBULYING
"['setuju', 'pendapat', 'semoga', 'umur', 'maksud', 'kandung', 'kalo', 'yg', 'ya', 'ndak', 'tau']",NON-CYBERBULYING
"['knp', 'hujatan']",CYBERBULLYING
['bobrok'],CYBERBULLYING
"['iyain', 'aja', 'biar', 'seneng']",NON-CYBERBULYING
"['cilik', 'licik']",CYBERBULLYING
['skip'],NON-CYBERBULYING
"['taik', 'kau']",CYBERBULLYING
"['heleh', 'mangan', 'pecel', 'sesasi', 'pisan', 'wen', 'dipoto', 'lngsung', 'dipost']",NON-CYBERBULYING
"['au', 'ah', 'gelap']",NON-CYBERBULYING
"['toloooong', 'muntah']",CYBERBULLYING
"['nih', 'gara2', 'diatas', 'meja', 'duren', 'bener']",NON-CYBERBULYING
"['cilik', 'isone', 'gor', 'nyambel', 'bawang', 'lawoh', 'krupuk']",NON-CYBERBULYING
"['mengurangi', 'hormat', 'mohon', 'berlapang', 'dada', 'utk', 'nyalon', 'mbak', 'puan', 'peradaban', 'm']",CYBERBULLYING
"['hahahahahahaha', 'kuntul']",CYBERBULLYING
"['listrik', 'bbm', 'kebutuhan', 'pokok', 'mna', 'partai', 'cilik', 'mencekik', 'rakyat']",CYBERBULLYING
"['kt', 'nya', 'partai', 'cilik', 'cilik', 'lg', 'menjerit', 'mba', 'bbm', 'selangitt', 'bantuin', 'mba', 'pliiiisss']",NON-CYBERBULYING
"['sharelok', 'warungnya', 'woy']",NON-CYBERBULYING
"['mengklaim', 'partai', 'cilik', 'menyetujui', 'kenaikan', 'bbm', 'simpelkan']",NON-CYBERBULYING
"['kantor', 'rumah', 'pertemuan', 'warung', 'pecel', 'tumpang', 'warung', 'ya', 'cilik', 'pakai', 'sandal', 'jepit', 'sak', 'mene', 'cilik', 'e']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['lawak', 'terusss']",CYBERBULLYING
[],NON-CYBERBULYING
"['nek', 'kui', 'bok', 'darani', 'cilik', 'sendal', 'jepit', 'lha', 'tros', 'opo', 'cok']",CYBERBULLYING
"['oarng', 'indonesia', 'taidk', 'prelu', 'bejlaar', 'meengja', 'tulisan', 'dgnan', 'bnear', 'kaerna', 'tuilsian', 'seeprti', 'j']",NON-CYBERBULYING
"['luan', 'ciang', 'hua']",NON-CYBERBULYING
"['ga', 'repot2', 'bu', 'rakyat', 'indonesia', 'ga', 'dikibulin', 'banteng']",CYBERBULLYING
"['komentarnya', 'nyinyir', 'bu', 'semoga', 'puan', 'instropeksi', 'cilik', 's']",CYBERBULLYING
"['berjuang', 'opo', 'yuk', 'yg', 'diperjuangkan']",NON-CYBERBULYING
"['warung', 'pecel', 'menunya', 'durian']",NON-CYBERBULYING
"['pengen', 'muntah']",CYBERBULLYING
"['kali', 'pencitraan', 'minimal', 'mbok', 'ya', 'riset', 'yg', 'nanam', 'padi', 'pas', 'hujan']",CYBERBULLYING
"['udah', 'g', 'dipaksain', 'klo', 'emg', 'gk', 'acting', 'nek']",CYBERBULLYING
"['2023', 'anti', 'pdi', 'perjyangan']",CYBERBULLYING
['hahahaha'],CYBERBULLYING
[],NON-CYBERBULYING
"['sendal', 'jepi', 'hermes']",NON-CYBERBULYING
